ROI_Name,X_base,Y_base
ROI_0,5041.0,2882.0
ROI_0,5034.0,2890.0
ROI_0,5012.0,2904.0
ROI_0,4990.0,2912.0
ROI_0,4910.0,2948.0
ROI_0,4809.0,3013.0
ROI_0,4634.0,3137.0
ROI_0,4620.0,3137.0
ROI_0,4431.0,3275.0
ROI_0,4249.0,3420.0
ROI_0,4111.0,3515.0
ROI_0,4046.0,3573.0
ROI_0,3966.0,3660.0
ROI_0,3886.0,3740.0
ROI_0,3777.0,3871.0
ROI_0,3675.0,3980.0
ROI_0,3537.0,4096.0
ROI_0,3501.0,4147.0
ROI_0,3428.0,4227.0
ROI_0,3355.0,4328.0
ROI_0,3246.0,4488.0
ROI_0,3174.0,4634.0
ROI_0,3072.0,4844.0
ROI_0,3028.0,4946.0
ROI_0,3007.0,5026.0
ROI_0,2985.0,5084.0
ROI_0,2985.0,5157.0
ROI_0,2978.0,5229.0
ROI_0,2978.0,5346.0
ROI_0,2978.0,5447.0
ROI_0,2978.0,5455.0
ROI_0,2978.0,5513.0
ROI_0,2978.0,5535.0
ROI_0,2978.0,5571.0
ROI_0,2978.0,5607.0
ROI_0,2978.0,5651.0
ROI_0,2978.0,5687.0
ROI_0,2978.0,5738.0
ROI_0,2978.0,5774.0
ROI_0,2970.0,5832.0
ROI_0,2970.0,5891.0
ROI_0,2970.0,5985.0
ROI_0,2970.0,6043.0
ROI_0,2970.0,6087.0
ROI_0,2970.0,6123.0
ROI_0,2978.0,6174.0
ROI_0,2985.0,6218.0
ROI_0,2985.0,6225.0
ROI_0,2999.0,6283.0
ROI_0,3014.0,6319.0
ROI_0,3014.0,6356.0
ROI_0,3014.0,6399.0
ROI_0,3021.0,6450.0
ROI_0,3036.0,6508.0
ROI_0,3036.0,6559.0
ROI_0,3043.0,6595.0
ROI_0,3043.0,6653.0
ROI_0,3043.0,6683.0
ROI_0,3043.0,6726.0
ROI_0,3043.0,6748.0
ROI_0,3043.0,6792.0
ROI_0,3043.0,6799.0
ROI_0,3043.0,6813.0
ROI_0,3043.0,6821.0
